Section,Question,A,B,C,D,Correct,Explanation
MCQ on Thyroid Disorders,25. Which food is rich in iodine and can prevent goiter?,A) Seafood,B) Meat,C) Fruits,D) Grains,A,
MCQ on Thyroid Disorders,26. Hoarseness of voice can occur after:,A) Thyroidectomy due to nerve damage,B) Insulin injection,C) Adrenal surgery,D) Parathyroid removal,A,
MCQ on Thyroid Disorders,"27. In hyperthyroidism, T4 levels are:",A) Low,B) High,C) Normal,D) Variable,B,
MCQ on Thyroid Disorders,28. TSH stands for:,A) Thyroid Stimulating Hormone,B) Total Serum Hormone,C) Thyroid Secretion Hormone,D) Triiodothyronine Stimulating Hormone,A,
MCQ on Thyroid Disorders,29. Monitoring TSH is important in patients on:,A) Insulin,B) Levothyroxine therapy,C) Steroids,D) Antihypertensives,B,
MCQ on Parathyroid Glands,30. Which is a nursing intervention for post-thyroidectomy?,A) Monitor for signs of hypocalcemia,B) Encourage high iodine diet,C) Restrict fluids,D) Avoid neck movement,A,
MCQ on Parathyroid Glands,1. The parathyroid glands primarily regulate which mineral in the body?,A) Sodium,B) Calcium,C) Potassium,D) Magnesium,B,
MCQ on Parathyroid Glands,2. How many parathyroid glands are typically present in the human body?,A) Two,B) Four,C) Six,D) One,B,
MCQ on Parathyroid Glands,3. Hyperparathyroidism is caused by:,A) Deficiency of parathyroid hormone,B) Excess parathyroid hormone,C) Low calcium levels,D) High magnesium levels,B,
MCQ on Parathyroid Glands,4. Hypoparathyroidism results in:,A) High blood calcium levels,B) Low blood calcium levels,C) High blood sugar levels,D) Low blood potassium levels,B,
MCQ on Parathyroid Glands,6. Chvostek’s sign is associated with which condition?,A) Hyperparathyroidism,B) Hypoparathyroidism,C) Hyperthyroidism,D) Cushing’s syndrome,B,
MCQ on Parathyroid Glands,7. Trousseau’s sign indicates:,A) High calcium levels,B) Low calcium levels,C) High sodium levels,D) Low potassium levels,B,
MCQ on Parathyroid Glands,8. Which surgery is performed to remove one or more parathyroid glands?,A) Thyroidectomy,B) Parathyroidectomy,C) Adrenalectomy,D) Hypophysectomy,B,
MCQ on Parathyroid Glands,9. Primary Hyperparathyroidism is most commonly caused by:,A) Iodine deficiency,B) Parathyroid adenoma,C) Thyroid cancer,D) Adrenal tumor,B,
MCQ on Parathyroid Glands,10. Tetany is a symptom of:,A) Hyperparathyroidism,B) Hypoparathyroidism,C) Hyperthyroidism,D) Diabetes mellitus,B,
MCQ on Parathyroid Glands,11. Which drug is used to treat hypercalcemia in Hyperparathyroidism?,A) Levothyroxine,B) Calcitonin,C) Insulin,D) Propranolol,B,
MCQ on Parathyroid Glands,12. Muscle cramps and spasms are common symptoms of:,A) Hyperparathyroidism,B) Hypoparathyroidism,C) Graves’ disease,D) Addison’s disease,B,
MCQ on Parathyroid Glands,13. The normal range for parathyroid hormone (PTH) is approximately:,A) 10-65 pg/mL,B) 70-100 pg/mL,C) 100-150 pg/mL,D) Below 5 pg/mL,A,
MCQ on Parathyroid Glands,14. Hypercalcemia is a hallmark of:,A) Hypoparathyroidism,B) Hyperparathyroidism,C) Hypothyroidism,D) Diabetes insipidus,B,
MCQ on Parathyroid Glands,15. Which diagnostic test measures parathyroid hormone levels?,A) Glucose tolerance test,B) PTH blood test,C) Thyroid scan,D) VMA test,B,
MCQ on Parathyroid Glands,16. Kidney stones are a common complication of:,A) Hypoparathyroidism,B) Hyperparathyroidism,C) Hypothyroidism,D) Addison’s disease,B,
MCQ on Parathyroid Glands,17. Calcium supplements are often prescribed for:,A) Hyperparathyroidism,B) Hypoparathyroidism,C) Hyperthyroidism,D) Cushing’s syndrome,B,
MCQ on Parathyroid Glands,18. Which vitamin enhances calcium absorption in Hypoparathyroidism treatment?,A) Vitamin C,B) Vitamin D,C) Vitamin B12,D) Vitamin K,B,
MCQ on Parathyroid Glands,19. Bone pain and fractures are associated with:,A) Hypoparathyroidism,B) Hyperparathyroidism,C) Diabetes mellitus,D) Graves’ disease,B,
MCQ on Parathyroid Glands,20. Which test evaluates bone density in Hyperparathyroidism?,A) X-ray,B) DEXA scan,C) Thyroid ultrasound,D) ECG,B,
MCQ on Parathyroid Glands,21. Hypocalcemia can cause which neurological symptom?,A) Tremors,B) Seizures,C) Weight loss,D) Tachycardia,B,
MCQ on Parathyroid Glands,22. Parathyroidectomy is a treatment for:,A) Hypoparathyroidism,B) Hyperparathyroidism,C) Hypothyroidism,D) Diabetes,B,
MCQ on Parathyroid Glands,23. Which drug is used to manage hypercalcemia by increasing urinary calcium excretion?,A) Furosemide,B) Metformin,C) Levothyroxine,D) Desmopressin,A,
MCQ on Parathyroid Glands,24. Secondary Hyperparathyroidism is often caused by:,A) Parathyroid adenoma,B) Chronic kidney disease,C) Thyroid cancer,D) Iodine deficiency,B,
MCQ on Parathyroid Glands,25. Tingling in the hands and feet is a symptom of:,A) Hyperparathyroidism,B) Hypoparathyroidism,C) Hyperthyroidism,D) Cushing’s disease,B,
MCQ on Parathyroid Glands,26. Which imaging is used to locate abnormal parathyroid glands?,A) CT scan,B) Sestamibi scan,C) MRI brain,D) Chest X-ray,B,
MCQ on Parathyroid Glands,27. Hyperparathyroidism can lead to which gastrointestinal symptom?,A) Constipation,B) Diarrhea,C) Weight gain,D) Increased appetite,A,
MCQ on Parathyroid Glands,28. Hypoparathyroidism may occur as a complication of:,A) Thyroidectomy,B) Adrenalectomy,C) Pancreatectomy,D) Appendectomy,A,
MCQ on Parathyroid Glands,29. Which electrolyte imbalance is seen in Hyperparathyroidism?,A) Hyperkalemia,B) Hypercalcemia,C) Hypocalcemia,D) Hyponatremia,B,
MCQ on Parathyroid Glands,30. Calcitriol is a form of which vitamin used in Hypoparathyroidism?,A) Vitamin A,B) Vitamin D,C) Vitamin E,D) Vitamin C,B,
MCQ on Parathyroid Glands,31. Osteoporosis is a long-term complication of:,A) Hypoparathyroidism,B) Hyperparathyroidism,C) Hypothyroidism,D) Diabetes insipidus,B,
MCQ on Parathyroid Glands,32. Which symptom is NOT associated with Hyperparathyroidism?,A) Fatigue,B) Muscle weakness,C) Tetany,D) Abdominal pain,C,
MCQ on Parathyroid Glands,33. The normal range for serum phosphorus in adults is:,A) 2.5-4.5 mg/dL,B) 5.0-7.0 mg/dL,C) 8.0-10.0 mg/dL,D) Below 2.0 mg/dL,A,
MCQ on Parathyroid Glands,34. Hypoparathyroidism is often caused by:,A) Excess PTH secretion,B) Damage to parathyroid glands,C) High calcium intake,D) Kidney failure,B,
MCQ on Parathyroid Glands,35. Which drug is used to lower calcium levels in Hyperparathyroidism?,A) Bisphosphonates,B) Insulin,C) Levothyroxine,D) Propranolol,A,
MCQ on Parathyroid Glands,36. A positive Chvostek’s sign is elicited by:,A) Tapping the facial nerve,B) Inflating a blood pressure cuff,C) Pressing the abdomen,D) Flexing the wrist,A,
MCQ on Parathyroid Glands,37. Trousseau’s sign is elicited by:,A) Tapping the cheek,B) Inflating a blood pressure cuff on the arm,C) Pressing the foot,D) Bending the neck,B,
MCQ on Parathyroid Glands,38. Which condition may cause pseudoHypoparathyroidism?,A) Resistance to PTH,B) Excess PTH secretion,C) Iodine deficiency,D) Adrenal tumor,A,
MCQ on Parathyroid Glands,39. Parathyroid hormone increases blood levels of:,A) Sodium,B) Calcium,C) Potassium,D) Glucose,B,
MCQ on Parathyroid Glands,40. Hyperparathyroidism can cause which psychological symptom?,A) Depression,B) Mania,C) Euphoria,D) Hyperactivity,A,
MCQ on Parathyroid Glands,41. Which test measures calcium levels in urine?,A) 24-hour urine calcium test,B) Blood glucose test,C) Thyroid function test,D) ACTH stimulation test,A,
MCQ on Parathyroid Glands,42. Hypocalcemia may lead to:,A) Increased bone density,B) Cardiac arrhythmias,C) Weight loss,D) Hyperglycemia,B,
MCQ on Parathyroid Glands,43. Cinacalcet is a drug used to treat:,A) Hypoparathyroidism,B) Hyperparathyroidism,C) Hypothyroidism,D) Diabetes mellitus,B,
MCQ on Parathyroid Glands,44. Which gland works closely with the parathyroid to regulate calcium?,A) Thyroid,B) Adrenal,C) Pancreas,D) Pituitary,A,
MCQ on Parathyroid Glands,45. Hyperparathyroidism can result in:,A) Hypophosphatemia,B) Hyperphosphatemia,C) Hyponatremia,D) Hyperkalemia,A,
MCQ on Parathyroid Glands,46. A nursing intervention for Hypoparathyroidism includes:,A) Restricting calcium intake,B) Monitoring for signs of tetany,C) Encouraging high sodium diet,D) Limiting vitamin D,B,
MCQ on Parathyroid Glands,47. Which symptom is common in Hyperparathyroidism?,A) Muscle spasms,B) Bone pain,C) Weight gain,D) Cold intolerance,B,
MCQ on Parathyroid Glands,"48. Post-parathyroidectomy, patients are monitored for:",A) Hyperglycemia,B) Hypocalcemia,C) Hyperkalemia,D) Hyponatremia,B,
MCQ on Parathyroid Glands,49. Which condition is NOT associated with Hyperparathyroidism?,A) Kidney stones,B) Osteoporosis,C) Tetany,D) Peptic ulcers,C,
MCQ on Hypoparathyroidism,50. The parathyroid glands are located:,A) In the abdomen,B) Behind the thyroid gland,C) In the brain,D) Near the kidneys,B,
MCQ on Hypoparathyroidism,1. Hypoparathyroidism is characterized by:,A) Excess parathyroid hormone,B) Deficiency of parathyroid hormone,C) Excess thyroid hormone,D) Deficiency of insulin,B,
MCQ on Hypoparathyroidism,2. What is the primary effect of Hypoparathyroidism on blood calcium levels?,A) Hypercalcemia,B) Hypocalcemia,C) Hyperkalemia,D) Hypokalemia,B,
MCQ on Hypoparathyroidism,3. The normal range for serum calcium is:,A) 3.5-5.0 mg/dL,B) 8.5-10.5 mg/dL,C) 12-15 mg/dL,D) Below 2.0 mg/dL,B,
MCQ on Hypoparathyroidism,4. Which symptom is commonly associated with Hypoparathyroidism?,A) Bone pain,B) Muscle cramps,C) Weight loss,D) Heat intolerance,B,
MCQ on Hypoparathyroidism,5. Chvostek’s sign in Hypoparathyroidism is elicited by:,A) Tapping the facial nerve,B) Inflating a blood pressure cuff,C) Pressing the abdomen,D) Flexing the wrist,A,
MCQ on Hypoparathyroidism,6. Trousseau’s sign is a clinical indicator of:,A) Hypercalcemia,B) Hypocalcemia,C) Hyperkalemia,D) Hyponatremia,B,
MCQ on Hypoparathyroidism,7. Hypoparathyroidism can result from:,A) Parathyroid adenoma,B) Thyroidectomy complications,C) Excess iodine intake,D) Chronic kidney disease,B,
MCQ on Hypoparathyroidism,8. Which electrolyte imbalance is typical in Hypoparathyroidism?,"A) Low calcium, high phosphate","B) High calcium, low phosphate","C) Low sodium, high potassium","D) High calcium, high phosphate",A,
MCQ on Hypoparathyroidism,9. Tetany in Hypoparathyroidism is caused by:,A) High calcium levels,B) Low calcium levels,C) High sodium levels,D) Low potassium levels,B,
MCQ on Hypoparathyroidism,11. Vitamin D is prescribed in Hypoparathyroidism to:,A) Decrease calcium absorption,B) Increase calcium absorption,C) Lower blood pressure,D) Increase phosphate levels,B,
MCQ on Hypoparathyroidism,12. A common neurological symptom of Hypoparathyroidism is:,A) Seizures,B) Weight gain,C) Tachycardia,D) Bone pain,A,
MCQ on Hypoparathyroidism,13. Which diagnostic test confirms Hypoparathyroidism?,A) Thyroid function test,B) Parathyroid hormone (PTH) blood test,C) Glucose tolerance test,D) VMA test,B,
MCQ on Hypoparathyroidism,16. Hypoparathyroidism may lead to:,A) Osteoporosis,B) Cardiac arrhythmias,C) Kidney stones,D) Weight loss,B,
MCQ on Hypoparathyroidism,17. Which procedure can inadvertently cause Hypoparathyroidism?,A) Appendectomy,B) Thyroidectomy,C) Adrenalectomy,D) Cholecystectomy,B,
MCQ on Hypoparathyroidism,18. Calcitriol is used in Hypoparathyroidism because it is:,A) An active form of vitamin D,B) A thyroid hormone,C) A calcium-lowering drug,D) An antithyroid drug,A,
MCQ on Hypoparathyroidism,19. Which symptom is NOT typical of Hypoparathyroidism?,A) Muscle spasms,B) Fatigue,C) Kidney stones,D) Numbness,C,
MCQ on Hypoparathyroidism,21. Hypocalcemia in Hypoparathyroidism can cause:,A) Increased bone density,B) Paresthesia,C) Hyperglycemia,D) Weight loss,B,
MCQ on Hypoparathyroidism,22. Which test assesses serum calcium levels?,A) Blood glucose test,B) Serum electrolyte test,C) Thyroid scan,D) ACTH stimulation test,B,
MCQ on Hypoparathyroidism,23. Hypoparathyroidism can occur due to:,A) Autoimmune destruction of parathyroid glands,B) Excess PTH secretion,C) High calcium diet,D) Thyroid cancer,A,
MCQ on Hypoparathyroidism,24. Which sign indicates hypocalcemia when inflating a blood pressure cuff?,A) Chvostek’s sign,B) Trousseau’s sign,C) Brudzinski’s sign,D) Babinski’s sign,B,
MCQ on Hypoparathyroidism,25. Calcium gluconate is administered in Hypoparathyroidism to:,A) Lower calcium levels,B) Treat acute hypocalcemia,C) Increase phosphate levels,D) Reduce muscle strength,B,
MCQ on Hypoparathyroidism,26. Which electrolyte is elevated in Hypoparathyroidism?,A) Calcium,B) Phosphate,C) Sodium,D) Potassium,B,
MCQ on Hypoparathyroidism,27. A patient with Hypoparathyroidism may experience:,A) Bone pain,B) Carpopedal spasm,C) Weight loss,D) Heat intolerance,B,
MCQ on Hypoparathyroidism,28. Which vitamin deficiency can worsen Hypoparathyroidism symptoms?,A) Vitamin C,B) Vitamin D,C) Vitamin B12,D) Vitamin K,B,
MCQ on Hypoparathyroidism,29. Hypoparathyroidism can cause which dental abnormality?,A) Enamel hypoplasia,B) Tooth discoloration,C) Cavities,D) Gum hypertrophy,A,
MCQ on Hypoparathyroidism,30. The normal range for serum phosphorus is:,A) 2.5-4.5 mg/dL,B) 5.0-7.0 mg/dL,C) 8.0-10.0 mg/dL,D) Below 2.0 mg/dL,A,
MCQ on Hypoparathyroidism,31. Which imaging test is NOT typically used for Hypoparathyroidism diagnosis?,A) Sestamibi scan,B) ECG to detect arrhythmias,C) Hand X-ray for bone changes,D) Thyroid ultrasound,A,
MCQ on Hypoparathyroidism,33. A patient with Hypoparathyroidism should avoid:,A) Calcium-rich foods,B) High-phosphate foods,C) Iodine-rich foods,D) Sugary foods,B,
MCQ on Hypoparathyroidism,34. Which symptom of Hypoparathyroidism affects the respiratory system?,A) Laryngospasm,B) Tachycardia,C) Diarrhea,D) Bone pain,A,
MCQ on Hypoparathyroidism,35. Post-thyroidectomy Hypoparathyroidism is due to:,A) Damage to parathyroid glands,B) Excess thyroid hormone,C) Iodine deficiency,D) Adrenal insufficiency,A,
MCQ on Hypoparathyroidism,36. Which drug is NOT used to treat Hypoparathyroidism?,A) Calcium carbonate,B) Calcitriol,C) Cinacalcet,D) Vitamin D analogs,C,
MCQ on Hypoparathyroidism,37. Hypoparathyroidism can cause which cardiac issue?,A) Hypertension,B) Prolonged QT interval on ECG,C) Tachycardia,D) Heart block,B,
MCQ on Hypoparathyroidism,38. Which condition mimics Hypoparathyroidism but involves PTH resistance?,A) Hyperparathyroidism,B) PseudoHypoparathyroidism,C) Graves’ disease,D) Addison’s disease,B,
MCQ on Hypoparathyroidism,39. A dietary recommendation for Hypoparathyroidism includes:,A) Low-calcium foods,B) Calcium-rich foods,C) High-sodium foods,D) Low-vitamin D foods,B,
MCQ on Hypoparathyroidism,40. Which test monitors treatment effectiveness in Hypoparathyroidism?,A) Serum calcium and phosphate levels,B) Blood glucose levels,C) Thyroid function tests,D) Cortisol levels,A,
MCQ on Hypoparathyroidism,42. Which complication of Hypoparathyroidism requires urgent treatment?,A) Osteoporosis,B) Acute tetany,C) Kidney stones,D) Weight gain,B,
MCQ on Hypoparathyroidism,43. Magnesium supplements may be given in Hypoparathyroidism to:,A) Lower calcium levels,B) Correct hypomagnesemia,C) Increase phosphate levels,D) Reduce muscle spasms only,B,
